FAPUN6,n-6系多価不飽和脂肪酸,g/100g
F4D0,4:0酪酸,mg/100g
F6D0,6:0ヘキサン酸,mg/100g
F7D0,7:0ヘプタン酸,mg/100g
F8D0,8:0オクタン酸,mg/100g
F10D0,10:0デカン酸,mg/100g
F12D0,12:0ラウリン酸,mg/100g
F13D0,13:0トリデカン酸,mg/100g
F14D0,14:0ミリスチン酸,mg/100g
F15D0,15:0ペンタデカン酸,mg/100g
F15D0AI,15:0antペンタデカン酸,mg/100g
F16D0,16:0パルミチン酸,mg/100g
F16D0I,16:0 isoパルミチン酸,mg/100g
F17D0,17:0ヘプタデカン酸,mg/100g
F17D0AI,17:0 antヘプタデカン酸,mg/100g
F18D0,18:0ステアリン酸,mg/100g
F20D0,20:0アラキジン酸,mg/100g
F22D0,22:0ベヘン酸,mg/100g
F24D0,24:0リグノセリン酸,mg/100g
F10D1,10:1デセン酸,mg/100g
F14D1,14:1ミリストレイン酸,mg/100g
F15D1,15:1ペンタデセン酸,mg/100g
F16D1,16:1パルミトレイン酸,mg/100g
F17D1,17:1ヘプタデセン酸,mg/100g
F18D1,18:1計,mg/100g
F18D1CN9,18:1n-9オレイン酸,mg/100g
F18D1CN7,18:1 n-7シス-バクセン酸,mg/100g
F20D1,20:1イコセン酸,mg/100g
F22D1,22:1ドコセン酸,mg/100g
F24D1,24:1テトラコセン酸,mg/100g
F16D2,16:2ヘキサデカジエン酸,mg/100g
F16D3,16:3ヘキサデカトリエン酸,mg/100g
F16D4,16:4ヘキサデカテトラエン酸,mg/100g
F18D2N6,18:2n-6リノール酸,mg/100g
F18D3N3,18:3n-3 α‐リノレン酸,mg/100g
F18D3N6,18:3 n-6 γ‐リノレン酸,mg/100g
F18D4N3,18:4 n-3 オクタデカテトラエン酸,mg/100g
F20D2N6,20:2 n-6 イコサジエン酸,mg/100g
F20D3N3,20:3 n-3 イコサトリエン酸,mg/100g
F20D3N6,20:3 n-6 イコサトリエン酸,mg/100g
F20D4N3,20:4 n-3 イコサテトラエン酸,mg/100g
F20D4N6,20:4 n-6 アラキドン酸,mg/100g
F20D5N3,20:5 n-3 イコサペンタエン酸,mg/100g
F21D5N3,21:5 n-3 ヘンイコサペンタエン酸,mg/100g
F22D2,22:2 ドコサジエン酸,mg/100g
F22D4N6,22:4 n-6 ドコサテトラエン酸,mg/100g
F22D5N3,22:5 n-3 ドコサペンタエン酸,mg/100g
F22D5N6,22:5 n-6 ドコサペンタエン酸,mg/100g
F22D6N3,22:6 n-3 ドコサヘキサエン酸,mg/100g
FAUN,未同定物質,mg/100g
FASATF,飽和脂肪酸,g/100g脂肪酸総量
FAMSF,一価不飽和脂肪酸,g/100g脂肪酸総量
FAPUF,多価不飽和脂肪酸,g/100g脂肪酸総量
FAPUN3F,n-3系多価不飽和脂肪酸,g/100g脂肪酸総量
FAPUN6F,n-6系多価不飽和脂肪酸,g/100g脂肪酸総量
F4D0F,4:0酪酸,g/100g脂肪酸総量
F6D0F,6:0ヘキサン酸,g/100g脂肪酸総量
F7D0F,7:0ヘプタン酸,g/100g脂肪酸総量
F8D0F,8:0オクタン酸,g/100g脂肪酸総量
F10D0F,10:0デカン酸,g/100g脂肪酸総量
F12D0F,12:0ラウリン酸,g/100g脂肪酸総量
F13D0F,13:0トリデカン酸,g/100g脂肪酸総量
F14D0F,14:0ミリスチン酸,g/100g脂肪酸総量
F15D0F,15:0ペンタデカン酸,g/100g脂肪酸総量
F15D0AIF,15:0antペンタデカン酸,g/100g脂肪酸総量
F16D0F,16:0パルミチン酸,g/100g脂肪酸総量
F16D0IF,16:0 isoパルミチン酸,g/100g脂肪酸総量
F17D0F,17:0ヘプタデカン酸,g/100g脂肪酸総量
F17D0AIF,17:0 antヘプタデカン酸,g/100g脂肪酸総量
F18D0F,18:0ステアリン酸,g/100g脂肪酸総量
F20D0F,20:0アラキジン酸,g/100g脂肪酸総量
F22D0F,22:0ベヘン酸,g/100g脂肪酸総量
F24D0F,24:0リグノセリン酸,g/100g脂肪酸総量
F10D1F,10:1デセン酸,g/100g脂肪酸総量
F14D1F,14:1ミリストレイン酸,g/100g脂肪酸総量
F15D1F,15:1ペンタデセン酸,g/100g脂肪酸総量
F16D1F,16:1パルミトレイン酸,g/100g脂肪酸総量
F17D1F,17:1ヘプタデセン酸,g/100g脂肪酸総量
F18D1F,18:1計,g/100g脂肪酸総量
F18D1CN9F,18:1n-9オレイン酸,g/100g脂肪酸総量
F18D1CN7F,18:1n-7シス-バクセン酸,g/100g脂肪酸総量
F20D1F,20:1イコセン酸,g/100g脂肪酸総量
F22D1F,22:1ドコセン酸,g/100g脂肪酸総量
F24D1F,24:1テトラコセン酸,g/100g脂肪酸総量
F16D2F,16:2ヘキサデカジエン酸,g/100g脂肪酸総量
F16D3F,16:3ヘキサデカトリエン酸,g/100g脂肪酸総量
F16D4F,16:4ヘキサデカテトラエン酸,g/100g脂肪酸総量
F18D2N6F,18:2n-6リノール酸,g/100g脂肪酸総量
F18D3N3F,18:3n-3α‐リノレン酸,g/100g脂肪酸総量
F18D3N6F,18:3n-6γ‐リノレン酸,g/100g脂肪酸総量
F18D4N3F,18:4n-3オクタデカテトラエン酸,g/100g脂肪酸総量
F20D2N6F,20:2n-6イコサジエン酸,g/100g脂肪酸総量
F20D3N3F,20:3n-3イコサトリエン酸,g/100g脂肪酸総量
F20D3N6F,20:3n-6イコサトリエン酸,g/100g脂肪酸総量
F20D4N3F,20:4n-3イコサテトラエン酸,g/100g脂肪酸総量
F20D4N6F,20:4n-6アラキドン酸,g/100g脂肪酸総量
F20D5N3F,20:5n-3イコサペンタエン酸,g/100g脂肪酸総量
F21D5N3F,21:5n-3ヘンイコサペンタエン酸,g/100g脂肪酸総量
F22D2F,22:2ドコサジエン酸,g/100g脂肪酸総量
F22D4N6F,22:4n-6ドコサテトラエン酸,g/100g脂肪酸総量
F22D5N3F,22:5n-3ドコサペンタエン酸,g/100g脂肪酸総量
F22D5N6F,22:5n-6ドコサペンタエン酸,g/100g脂肪酸総量
F22D6N3F,22:6n-3ドコサヘキサエン酸,g/100g脂肪酸総量
FAUNF,未同定物質,g/100g脂肪酸総量
FACIDL,脂肪酸総量,mg/g脂質
FASATL,飽和脂肪酸,mg/g脂質
FAMSL,一価不飽和脂肪酸,mg/g脂質
FAPUL,多価不飽和脂肪酸,mg/g脂質
FAPUN3L,n-3系多価不飽和脂肪酸,mg/g脂質
FAPUN6L,n-6系多価不飽和脂肪酸,mg/g脂質
F4D0L,4:0酪酸,mg/g脂質
F6D0L,6:0ヘキサン酸,mg/g脂質
F7D0L,7:0ヘプタン酸,mg/g脂質
F8D0L,8:0オクタン酸,mg/g脂質
F10D0L,10:0デカン酸,mg/g脂質
F12D0L,12:0ラウリン酸,mg/g脂質
F13D0L,13:0トリデカン酸,mg/g脂質
F14D0L,14:0ミリスチン酸,mg/g脂質
F15D0L,15:0ペンタデカン酸,mg/g脂質
F15D0AIL,15:0antペンタデカン酸,mg/g脂質
F16D0L,16:0パルミチン酸,mg/g脂質
F16D0IL,16:0 isoパルミチン酸,mg/g脂質
F17D0L,17:0ヘプタデカン酸,mg/g脂質
F17D0AIL,17:0 antヘプタデカン酸,mg/g脂質
F18D0L,18:0ステアリン酸,mg/g脂質
F20D0L,20:0アラキジン酸,mg/g脂質
F22D0L,22:0ベヘン酸,mg/g脂質
F24D0L,24:0リグノセリン酸,mg/g脂質
F10D1L,10:1デセン酸,mg/g脂質
F14D1L,14:1ミリストレイン酸,mg/g脂質
F15D1L,15:1ペンタデセン酸,mg/g脂質
F16D1L,16:1パルミトレイン酸,mg/g脂質
F17D1L,17:1ヘプタデセン酸,mg/g脂質
F18D1L,18:1計,mg/g脂質
F18D1CN9L,18:1 n-9オレイン酸,mg/g脂質
F18D1CN7L,18:1 n-7シス-バクセン酸,mg/g脂質
F20D1L,20:1イコセン酸,mg/g脂質
F22D1L,22:1ドコセン酸,mg/g脂質
F24D1L,24:1テトラコセン酸,mg/g脂質
F16D2L,16:2ヘキサデカジエン酸,mg/g脂質
F16D3L,16:3ヘキサデカトリエン酸,mg/g脂質
F16D4L,16:4ヘキサデカテトラエン酸,mg/g脂質
F18D2N6L,18:2n-6リノール酸,mg/g脂質
F18D3N3L,18:3n-3α‐リノレン酸,mg/g脂質
F18D3N6L,18:3 n-6 γ‐リノレン酸,mg/g脂質
F18D4N3L,18:4 n-3 オクタデカテトラエン酸,mg/g脂質
F20D2N6L,20:2 n-6 イコサジエン酸,mg/g脂質
F20D3N3L,20:3 n-3 イコサトリエン酸,mg/g脂質
F20D3N6L,20:3 n-6 イコサトリエン酸,mg/g脂質
F20D4N3L,20:4 n-3 イコサテトラエン酸,mg/g脂質
F20D4N6L,20:4 n-6 アラキドン酸,mg/g脂質
F20D5N3L,20:5 n-3 イコサペンタエン酸,mg/g脂質
F21D5N3L,21:5 n-3 ヘンイコサペンタエン酸,mg/g脂質
F22D2L,22:2 ドコサジエン酸,mg/g脂質
F22D4N6L,22:4 n-6 ドコサテトラエン酸,mg/g脂質
F22D5N3L,22:5 n-3 ドコサペンタエン酸,mg/g脂質
F22D5N6L,22:5 n-6 ドコサペンタエン酸,mg/g脂質
F22D6N3L,22:6 n-3 ドコサヘキサエン酸,mg/g脂質
FAUNL,未同定物質,mg/g脂質
STARCH,でんぷん,g/100g
GLUS,ぶどう糖,g/100g
FRUS,果糖,g/100g
GALS,ガラクトース,g/100g
SUCS,しょ糖,g/100g
MALS,麦芽糖,g/100g
LACS,乳糖,g/100g
TRES,トレハロース,g/100g
SORTL,ソルビトール,g/100g
MANTL,マンニトール,g/100g
FIBSOL,水溶性食物繊維,g/100g
FIBINS,不溶性食物繊維,g/100g
FIBTG,食物繊維総量,g/100g
FIB-SDFS,低分子量水溶性食物繊維,g/100g
FIB-SDFP,高分子量水溶性食物繊維,g/100g
FIB-IDF,不溶性食物繊維,g/100g
STARES,難消化性でん粉,g/100g
FIB-TDF,食物繊維総量,g/100g
FORAC,ギ酸,g/100g
ACEAC,酢酸,g/100g
GLYCLAC,グリコール酸,g/100g
LACAC,乳酸,g/100g
GLUCAC,グルコン酸,g/100g
OXALAC,シュウ酸,g/100g
MOLAC,マロン酸,g/100g
SUCAC,コハク酸,g/100g
FUMAC,フマル酸,g/100g
MALAC,リンゴ酸,g/100g
TARAC,酒石酸,g/100g
GLUAKAC,α‐ケトグルタル酸,g/100g
CITAC,クエン酸,g/100g
SALAC,サリチル酸,g/100g
PCHOUAC,p‐クマル酸,mg/100g
CAFFAC,コーヒー酸,mg/100g
FERAC,フェルラ酸,mg/100g
CHLRAC,クロロゲン酸,mg/100g
QUINAC,キナ酸,g/100g
OROTAC,オトロ酸,g/100g
PYROGAC,ピログルタミン酸,g/100g
PROPAC,プロピオン酸,g/100g
